Symbol,Change_2d,Change_5d,Change_10d,Change_30d,Change_60d,Change_180d,MTD Change,YTD Change
PAYX,0.054744056,,0.03529009,0.003481191,-0.056986109,-0.089950093,-0.034087151,0.051657147
PB,0.012595519,,0.086328873,0.113784218,0.038777211,0.018977821,-0.079468451,-0.062242799
PBA,0.006006778,,0.015147506,-0.042047547,-0.052755299,0.06482106,-0.014921483,0.036265227
PBF,0.033763671,,0.064051686,0.406615867,0.371805901,0.584203857,-0.060196029,-0.231771287
PBH,0.020801555,,-0.003995726,0.024562276,-0.130332552,-0.128922248,0.004011756,0.089640163
PBR,0.01348137,,0.058683644,0.101506798,0.068992856,0.069881187,-0.055430764,-0.019440125
PBR,0.01348137,,0.058683644,0.101506798,0.068992856,0.069881187,-0.055430764,-0.019440125
PBR,0.01348137,,0.058683644,0.101506798,0.068992856,0.069881187,-0.055430764,-0.019440125
PBR,0.01348137,,0.058683644,0.101506798,0.068992856,0.069881187,-0.055430764,-0.019440125
PBR,0.01348137,,0.058683644,0.101506798,0.068992856,0.069881187,-0.055430764,-0.019440125
PBR,0.01348137,,0.058683644,0.101506798,0.068992856,0.069881187,-0.055430764,-0.019440125
PBR,0.01348137,,0.058683644,0.101506798,0.068992856,0.069881187,-0.055430764,-0.019440125
PBR,0.01348137,,0.058683644,0.101506798,0.068992856,0.069881187,-0.055430764,-0.019440125
PCAR,0.055767726,,0.024064139,0.010121624,0.014595807,-0.122027035,-0.023498664,0.009870804
PCG,-0.017294668,,0.009264955,-0.033353978,0.060531162,0.218992244,-0.009179903,-0.197720501
PCH,0.022048949,,0.024012287,-0.012157924,-0.154191927,-0.011000091,-0.023449217,0.155191176
PCOR,0.060880253,,0.172672938,0.170066004,0.147983464,-0.110565852,-0.147247312,-0.129721089
PCTY,0.008879874,,0.092810477,0.131967465,0.024018349,-0.146624603,-0.084928246,-0.062816457
PCVX,-0.013743724,,0.045382938,0.230350813,0.160773137,0.660701539,-0.043412741,-0.146713927
PD,0.026123957,,0.076549228,0.159173814,0.069866439,0.082017039,-0.07110611,-0.098576184
PDCO,-0.001283665,,-0.000641863,-0.004813852,-0.011232361,-0.306787113,0.000642275,0.009721297
PDD,-0.019918681,,-0.036362102,-0.01390072,-0.19749112,-0.194863577,0.037734197,0.216414125
PEB,0.051141592,,0.127853936,0.136073041,0.198173526,0.182722696,-0.113360367,-0.191881944
PECO,0.00995445,,0.058020504,0.04426405,0.005630367,0.089140774,-0.054838733,-0.056035658
PEG,0.000509144,,0.02487066,0.059474989,0.063769012,0.055629794,-0.02426712,-0.062839089
PEGA,-0.005788559,,0.108428633,0.479457832,0.336015739,-0.050674452,-0.097821935,-0.239776718
PEN,-0.019440444,,0.088053695,-0.004917316,-0.044674855,-0.287413261,-0.080927711,0.104682504
PENN,-0.022445426,,0.270525685,0.29415236,0.133490856,0.17542819,-0.212924215,-0.145812282
PEP,0.025733592,,0.007483748,-0.052386238,-0.06361191,0.154484094,-0.007428158,0.001775643
PFE,0.025009605,,0.016929609,-0.004617119,0.011367695,0.090941635,-0.016647769,-0.004158765
PFG,0.009652547,,0.074324371,0.018098456,-0.07890928,-0.027046702,-0.06918243,0.070662619
PFGC,-0.010173131,,0.124851323,0.131457215,0.115074631,-0.028801694,-0.110993622,-0.104790068
PFSI,-0.008588595,,0.072537274,0.06229988,-0.007337134,0.185403762,-0.067631472,-0.050996687
PG,0.018137705,,0.004158972,-0.032289721,-0.089654555,-0.00639094,-0.004141747,0.038924154
PGNY,-0.006516344,,0.1293233,0.120300728,-0.059649147,0.21052625,-0.114513974,0.156521783
PGR,0.006319058,,0.018271097,-0.098396764,-0.149238107,-0.095337127,-0.017943254,0.178041197
PH,-0.007509984,,0.093784269,0.113663461,0.028411871,-0.037055097,-0.085742931,-0.036784654
PHG,0.00074796,,-0.026551948,0.031787599,-0.034405388,0.149588633,0.027276184,0.056082152
PHI,-0.004798114,,-0.088364693,-0.08076771,-0.105557752,0.051579328,0.096929871,0.129119669
PHM,0.014739279,,-0.024187431,0.006897235,0.016723397,0.314047775,0.024786963,-0.028099221
PI,0.064587745,,0.021775954,0.108245222,0.518181791,0.965327708,-0.021311867,-0.348753944
PII,0.067972101,,-0.004051324,-0.010037642,0.201479464,0.791897834,0.004067804,-0.217238359
PINC,0.012540869,,-0.008724092,0.000754099,0.124703264,0.083441198,0.008800872,-0.124716718
PINS,0.01146864,,0.1780822,0.26282256,-0.0232558,-0.08059888,-0.151162797,0.082413772
PIPR,-0.024751535,,0.141306228,0.215864316,0.112854304,0.052675381,-0.123810967,-0.153986097
PJT,0.027537745,,0.116904079,0.228131696,0.084643988,-0.129346236,-0.104667967,-0.096441496
PK,0.030716694,,0.047781523,0.104095502,0.174061426,0.125689064,-0.045602563,-0.167021996
PKG,0.00906563,,0.079209925,0.06062295,0.154975977,0.052779646,-0.073396216,-0.122951216
PKX,0.017516224,,-0.089942916,-0.186971064,-0.132060671,0.358000357,0.09883217,0.171817358
PLAY,0.112834151,,0.117112221,0.316577531,0.514973196,0.739037387,-0.104834787,-0.359369633
PLD,0.005888398,,0.057518329,0.019542592,-0.115975456,0.091529751,-0.054389913,0.108609306
PLMR,-0.039021493,,-0.019434517,-0.164545407,-0.226354722,-0.277265475,0.019819703,0.24263672
PLNT,0.006983256,,-0.005694013,0.142995244,0.08970776,-0.114847467,0.005726621,-0.058561755
PLTK,0.050209155,,0.104602506,0.546025009,0.416317925,0.562278671,-0.094696966,-0.311239169
PLTR,-0.021396614,,0.088020434,0.494554734,-0.138244721,-0.544010266,-0.080899615,0.031997962
